X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
9600,12000,130,90,320_400_horizon.png,8,10,130
9600,13200,131,90,320_440_horizon.png,8,11,131
9600,14400,132,90,320_480_horizon.png,8,12,132
9600,15600,133,90,320_520_horizon.png,8,13,133
9600,16800,134,90,320_560_horizon.png,8,14,134
10800,0,135,90,360_0_horizon.png,9,0,135
10800,1200,136,90,360_40_horizon.png,9,1,136
10800,2400,137,90,360_80_horizon.png,9,2,137
10800,3600,138,90,360_120_horizon.png,9,3,138
10800,4800,139,90,360_160_horizon.png,9,4,139
10800,6000,140,90,360_200_horizon.png,9,5,140
10800,7200,141,90,360_240_horizon.png,9,6,141
10800,8400,142,90,360_280_horizon.png,9,7,142
10800,9600,143,90,360_320_horizon.png,9,8,143
10800,10800,144,90,360_360_horizon.png,9,9,144
10800,12000,145,90,360_400_horizon.png,9,10,145
10800,13200,146,90,360_440_horizon.png,9,11,146
10800,14400,147,90,360_480_horizon.png,9,12,147
10800,15600,148,90,360_520_horizon.png,9,13,148
10800,16800,149,90,360_560_horizon.png,9,14,149
12000,0,150,90,400_0_horizon.png,10,0,150
12000,1200,151,90,400_40_horizon.png,10,1,151
12000,2400,152,90,400_80_horizon.png,10,2,152
12000,3600,153,90,400_120_horizon.png,10,3,153
12000,4800,154,90,400_160_horizon.png,10,4,154
12000,6000,155,90,400_200_horizon.png,10,5,155
12000,7200,156,90,400_240_horizon.png,10,6,156
12000,8400,157,90,400_280_horizon.png,10,7,157
12000,9600,158,90,400_320_horizon.png,10,8,158
12000,10800,159,90,400_360_horizon.png,10,9,159
12000,12000,160,90,400_400_horizon.png,10,10,160
12000,13200,161,90,400_440_horizon.png,10,11,161
12000,14400,162,90,400_480_horizon.png,10,12,162
12000,15600,163,90,400_520_horizon.png,10,13,163
12000,16800,164,90,400_560_horizon.png,10,14,164
13200,0,165,90,440_0_horizon.png,11,0,165
13200,1200,166,90,440_40_horizon.png,11,1,166
13200,2400,167,90,440_80_horizon.png,11,2,167
13200,3600,168,90,440_120_horizon.png,11,3,168
13200,4800,169,90,440_160_horizon.png,11,4,169
13200,6000,170,90,440_200_horizon.png,11,5,170
13200,7200,171,90,440_240_horizon.png,11,6,171
13200,8400,172,90,440_280_horizon.png,11,7,172
13200,9600,173,90,440_320_horizon.png,11,8,173
13200,10800,174,90,440_360_horizon.png,11,9,174
13200,12000,175,90,440_400_horizon.png,11,10,175
13200,13200,176,90,440_440_horizon.png,11,11,176
13200,14400,177,90,440_480_horizon.png,11,12,177
13200,15600,178,90,440_520_horizon.png,11,13,178
13200,16800,179,90,440_560_horizon.png,11,14,179
14400,0,180,90,480_0_horizon.png,12,0,180
14400,1200,181,90,480_40_horizon.png,12,1,181
14400,2400,182,90,480_80_horizon.png,12,2,182
14400,3600,183,90,480_120_horizon.png,12,3,183
14400,4800,184,90,480_160_horizon.png,12,4,184
14400,6000,185,90,480_200_horizon.png,12,5,185
14400,7200,186,90,480_240_horizon.png,12,6,186
14400,8400,187,90,480_280_horizon.png,12,7,187
14400,9600,188,90,480_320_horizon.png,12,8,188
14400,10800,189,90,480_360_horizon.png,12,9,189
14400,12000,190,90,480_400_horizon.png,12,10,190
14400,13200,191,90,480_440_horizon.png,12,11,191
14400,14400,192,90,480_480_horizon.png,12,12,192
14400,15600,193,90,480_520_horizon.png,12,13,193
14400,16800,194,90,480_560_horizon.png,12,14,194
